movie_title,content_rating,genres,directors,runtime,tomatometer_status,tomatometer_rating,audience_rating,tomatometer_top_critics_count
Percy Jackson & the Olympians: The Lightning Thief,PG,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Chris Columbus,119,Rotten,49,53,43
Please Give,R,Comedy,Nicole Holofcener,90,Certified-Fresh,87,64,44
10,R,"Comedy, Romance",Blake Edwards,122,Fresh,67,53,2
12 Angry Men (Twelve Angry Men),NR,"Classics, Drama",Sidney Lumet,95,Certified-Fresh,100,97,6
"20,000 Leagues Under The Sea",G,"Action & Adventure, Drama, Kids & Family",Richard Fleischer,127,Fresh,89,74,5
"10,000 B.C.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,109,Rotten,8,37,37
The 39 Steps,NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,80,Certified-Fresh,96,86,8
3:10 to Yuma,NR,"Classics, Drama, Western",Delmer Daves,92,Fresh,96,79,6
Charly (A Heartbeat Away),PG,"Comedy, Drama, Romance",Adam Thomas Anderegg,103,Rotten,20,87,0
Abraham Lincoln,NR,"Classics, Drama",D.W. Griffith,97,Fresh,82,40,4
Dark Water,PG-13,"Art House & International, Horror, Mystery & Suspense",Hideo Nakata,100,Fresh,80,66,3
The Accused,R,"Drama, Mystery & Suspense",Jonathan Kaplan,110,Fresh,91,79,1
The Lost City,R,Drama,Andy Garcia,143,Rotten,25,64,37
The Breaking Point,NR,Drama,Michael Curtiz,97,Fresh,100,86,1
Adam's Rib,NR,"Classics, Comedy, Romance",George Cukor,101,Fresh,96,86,6
The Bridge of San Luis Rey,PG,"Art House & International, Drama, Faith & Spirituality",Mary McGuckian,124,Rotten,4,35,13
The Prowler (Cost of Living ),PG,"Drama, Mystery & Suspense",Joseph Losey,92,Fresh,100,86,6
Criminal,R,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs",87,Fresh,69,57,35
The Adventures of Mark Twain,G,"Action & Adventure, Animation, Kids & Family",Will Vinton,86,Fresh,80,82,1
Deep Blue,G,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill",90,Fresh,67,80,18
The Adventures of Robin Hood,PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley",102,Certified-Fresh,100,89,8
Man Hunt,NR,"Classics, Drama, Mystery & Suspense",Fritz Lang,100,Fresh,92,75,0
Dead End,R,"Comedy, Horror, Mystery & Suspense","Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea",83,Fresh,75,60,1
Bandwagon,R,Comedy,John Schultz,103,Fresh,80,91,1
Whore,R,"Art House & International, Drama",María Lidón,77,Rotten,0,63,4
Tristan & Isolde,PG-13,"Drama, Science Fiction & Fantasy, Romance",Kevin Reynolds,126,Rotten,31,71,36
Wild Side,NR,"Art House & International, Drama",Sébastien Lifshitz,94,Fresh,63,80,4
A Tale of Two Pizzas,PG,Comedy,Vincent Sassone,82,Rotten,38,,5
Running Scared,R,"Action & Adventure, Drama, Mystery & Suspense",Wayne Kramer,121,Rotten,41,79,39
Going the Distance,R,Comedy,Mark Griffiths,93,Rotten,0,61,2
Ultraviolet,PG-13,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,88,Rotten,8,30,21
Home of the Brave,R,"Action & Adventure, Documentary, Drama, Special Interest",Paola di Florio,75,Fresh,93,48,7
Arthur and the Invisibles (Arthur and the Minimoys),PG,"Animation, Kids & Family, Science Fiction & Fantasy",Luc Besson,94,Rotten,22,56,30
Malevolence,R,Horror,Stevan Mena,90,Rotten,33,83,4
Eternal,R,"Horror, Mystery & Suspense","Wilhelm Liebenberg, Federico Sanchez",108,Rotten,21,39,10
A Farewell To Arms,NR,"Classics, Drama, Romance","Charles Vidor, John Hudson, John Huston",150,Rotten,0,37,6
The Narrow Margin,NR,"Classics, Drama, Mystery & Suspense",Richard Fleischer,71,Fresh,100,88,0
The Matador,R,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard",97,Certified-Fresh,75,65,39
Smile,PG-13,"Art House & International, Comedy, Drama","Jeff Kramer, Jeffrey Kramer",107,Rotten,15,66,6
The Intruder (L'Intrus),G,"Art House & International, Drama",Claire Denis,130,Fresh,87,73,10
Saint Ralph,PG-13,"Comedy, Drama",Michael McGowan,98,Fresh,64,85,26
The Baxter,PG-13,"Comedy, Romance",Michael Showalter,91,Rotten,32,75,25
Oliver Twist,PG-13,"Drama, Kids & Family",Roman Polanski,130,Fresh,61,63,39
The Alamo,NR,"Action & Adventure, Classics, Drama, Western",John Wayne,192,Rotten,52,63,4
G,R,"Drama, Romance",Christopher Scott Cherot,96,Rotten,24,60,17
Alexander the Great,G,Classics,Robert Rossen,141,Rotten,0,42,1
